Season,Date,Tournament,Round,Map,Side,Match Duration,Team,Attack/Defend Success?,Offense/Defense/KotH,KotH: Who Captured First?,Player,Hero,Hero swapped From,Swap Location,Start Time,End Time,Time Played,Match Share,Time Played (sec),Duration Calculation Column
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,IID,Mei,,,2:58:17,3:04:46,0:06:29,77.96%,389,0:08:19
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Dahang,Zenyatta,,,2:58:17,3:06:36,0:08:19,100.00%,499,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Rapha,Zarya,,,2:58:17,3:04:46,0:06:29,77.96%,389,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Azk,McCree,,,2:58:17,3:04:46,0:06:29,77.96%,389,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Mesr,Reinhardt,,,2:58:17,3:06:06,0:07:49,93.99%,469,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Minstrel,Lucio,,,2:58:17,3:06:36,0:08:19,100.00%,499,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Harryhook,Mercy,,,2:58:17,3:06:36,0:08:19,100.00%,499,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Taimou,Roadhog,,,2:58:17,3:02:02,0:03:45,45.09%,225,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Internethulk,Winston,,,2:58:17,3:06:36,0:08:19,100.00%,499,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Chipshajen,Ana,,,2:58:17,3:06:36,0:08:19,100.00%,499,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Cocco,Zarya,,,2:58:17,3:06:36,0:08:19,100.00%,499,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Talespin,Pharah,,,2:58:17,3:01:57,0:03:40,44.09%,220,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Talespin,Tracer,Pharah,Dorado Second Arch,3:01:57,3:06:36,0:04:39,55.91%,279,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,EnVyUs,Yes,Offense,,Taimou,McCree,Roadhog,Dorado Second Arch,3:02:02,3:06:36,0:04:34,54.91%,274,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Azk,Tracer,McCree,Dorado Third Point,3:04:46,3:05:26,0:00:40,8.02%,40,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Rapha,D.va,Zarya,Dorado Third Point,3:04:46,3:05:30,0:00:44,8.82%,44,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,IID,Reaper,Mei,Dorado Third Point,3:04:46,3:06:36,0:01:50,22.04%,110,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Azk,McCree,Tracer,Dorado Third Point,3:05:26,3:05:58,0:00:32,6.41%,32,0:00:00
2,9/25/2016,Overwatch Open,NA Uppper Bracket Round 2,Dorado,1,0:08:19,Liquid,No,Defense,,Rapha,Zarya,D.va,Dorado Third Point,3:05:30,3:06:36,0:01:06,13.23%,66,0:00:00
